Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Triple Negative Breast Neoplasms	5/632	6.850486392787201E-6	0.002597300749921575	0	0	30.881977671451356	367.22349192143804	THRB;KIT;ALDH1A1;AXIN2;CLU
Lung Neoplasms	6/1177	7.016561560841661E-6	0.002597300749921575	0	0	24.106319385140907	286.075411755098	CXCL12;THRB;KIT;CACNA1A;AXIN2;CLU
Noninfiltrating Intraductal Carcinoma	4/287	8.146535672587913E-6	0.002597300749921575	0	0	46.42402826855124	543.9929468210173	CXCL12;KIT;ALDH1A1;CLU
Renal Cell Carcinoma	6/1348	1.5378113578290633E-5	0.002597300749921575	0	0	20.843517138599104	230.9996388450915	CXCL12;THRB;KIT;ALDH1A1;AXIN2;CLU
Micropapillary carcinoma	2/13	1.749845371523095E-5	0.002597300749921575	0	0	454.0681818181818	4973.589532784677	CXCL12;ALDH1A1
Primary chondrosarcoma of bone	2/13	1.749845371523095E-5	0.002597300749921575	0	0	454.0681818181818	4973.589532784677	CXCL12;KIT
Urticaria Pigmentosa	2/14	2.0409450302584202E-5	0.002597300749921575	0	0	416.2083333333333	4494.8471043704	KIT;CTSG
Desmoplastic melanoma	2/14	2.0409450302584202E-5	0.002597300749921575	0	0	416.2083333333333	4494.8471043704	KIT;CLU
Carcinoma, Endometrioid	3/114	2.1021319019149436E-5	0.002597300749921575	0	0	76.75289575289575	826.6266489942866	KIT;ALDH1A1;CLU
Von Hippel-Lindau Syndrome	3/119	2.3905752658204E-5	0.002658319695592285	0	0	73.42610837438424	781.3559604663873	CXCL12;THRB;CLU
Nongerminomatous Germ Cell Tumor	2/18	3.427837406961788E-5	0.003324080436689958	0	0	312.09375	3208.634562990342	CXCL12;KIT
Benign Prostatic Hyperplasia	4/420	3.641858141610176E-5	0.003324080436689958	0	0	31.368589743589745	320.6005206903613	THRB;KIT;ALDH1A1;CLU
Thyroid Diseases	3/140	3.886065258720275E-5	0.003324080436689958	0	0	62.105318039624606	630.7123162278714	CXCL12;THRB;KIT
Exfoliation Syndrome	2/23	5.660726002642441E-5	0.004196484876625597	0	0	237.72619047619048	2324.8131626974437	CACNA1A;CLU
Increased gastric cancer	2/23	5.660726002642441E-5	0.004196484876625597	0	0	237.72619047619048	2324.8131626974437	KIT;AXIN2
Primary malignant neoplasm	5/1032	7.343149504893159E-5	0.004745737280246505	0	0	18.46445959104187	175.7661013355548	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Malignant neoplasm of thyroid	4/505	7.473982075598204E-5	0.004745737280246505	0	0	25.933466400532268	246.40676700459485	THRB;KIT;ALDH1A1;CLU
Anaplastic thyroid carcinoma	3/176	7.681948834931392E-5	0.004745737280246505	0	0	49.092485549132945	465.10477049698454	CXCL12;KIT;ALDH1A1
Carcinoma, Papillary	3/196	1.0572435945707803E-4	0.006187657248224778	0	0	43.960769800148036	402.44657052181435	THRB;KIT;CLU
Anti-Basement Membrane Glomerulonephritis	2/38	1.5666537518096716E-4	0.008710594860061774	0	0	138.56944444444446	1214.0621082192192	CXCL12;CLU
Gallbladder Carcinoma	3/233	1.7631984600226738E-4	0.008879458697072422	0	0	36.81987577639752	318.24195184600376	CXCL12;ALDH1A1;AXIN2
Conventional (Clear Cell) Renal Cell Carcinoma	4/631	1.770794825299918E-4	0.008879458697072422	0	0	20.587985114300903	177.85778903155887	CXCL12;THRB;KIT;ALDH1A1
Esophageal Neoplasms	4/637	1.836578687344116E-4	0.008879458697072422	0	0	20.386519220642445	175.37372564033987	CXCL12;THRB;GNG7;ALDH1A1
Primary Carcinoma	2/43	2.009680615243086E-4	0.009215288923311029	0	0	121.64024390243902	1035.4461013159446	KIT;CLU
Malignant neoplasm of esophagus	4/673	2.2693468053158457E-4	0.009215288923311029	0	0	19.253612356751372	161.55414114505106	CXCL12;THRB;GNG7;ALDH1A1
Small cell carcinoma of lung	4/673	2.2693468053158457E-4	0.009215288923311029	0	0	19.253612356751372	161.55414114505106	CXCL12;THRB;KIT;ALDH1A1
Cutaneous Mastocytosis	2/46	2.3016142338620166E-4	0.009215288923311029	0	0	113.32954545454545	949.3309641295106	CXCL12;KIT
Liver neoplasms	5/1321	2.374639032183715E-4	0.009215288923311029	0	0	14.189969604863222	118.42231942956819	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Hemangioblastoma	2/47	2.4032677947483796E-4	0.009215288923311029	0	0	110.80555555555556	923.3993138215899	CXCL12;CLU
Trichohepatoenteric Syndrome	3/267	2.633825096014993E-4	0.009762711689228907	0	0	32.02272727272727	263.92821752629595	CXCL12;THRB;KIT
Rectal Carcinoma	3/276	2.903410007852659E-4	0.010272603381112681	0	0	30.952904238618526	252.0945190069522	CXCL12;KIT;ALDH1A1
Thyroid carcinoma	4/721	2.9561448578741526E-4	0.010272603381112681	0	0	17.92003719200372	145.6263644670417	THRB;KIT;ALDH1A1;CLU
Atrophic	2/57	3.538767443157693E-4	0.01157775676485901	0	0	90.61363636363636	720.0668690209761	CACNA1A;CLU
Malignant Neoplasms	5/1438	3.539961600766244E-4	0.01157775676485901	0	0	12.949755757152825	102.9016663645958	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Stomach Carcinoma	6/2378	3.848421371230503E-4	0.011640635006251966	0	0	11.141231028667791	87.59990476228992	CXCL12;THRB;KIT;ALDH1A1;AXIN2;CLU
