Id,Label,Degree,Betweenness,Expression,Rank(D),Rank(B),Avg Rank
8313,AXIN2,52,2999,0,1,1,1
100423062,IGLL5,13,882,0,2,2,2
6387,CXCL12,6,526.5,0,3.5,4,3.75
216,ALDH1A1,6,235.5,0,3.5,7,5.25
466,ATF1,2,871,0,10.5,3,6.75
1511,CTSG,3,157,0,5.5,10.5,8
3815,KIT,3,157,0,5.5,10.5,8
9580,SOX13,2,284,0,10.5,5.5,8
26959,HBP1,2,284,0,10.5,5.5,8
4899,NRF1,2,231,0,10.5,8.5,9.5
2146,EZH2,2,231,0,10.5,8.5,9.5
3171,FOXA3,2,98.67,0,10.5,13,11.75
84146,ZNF644,2,98.67,0,10.5,13,11.75
1999,ELF3,2,98.67,0,10.5,13,11.75
25942,SIN3A,1,0,0,48,48,48
7528,YY1,1,0,0,48,48,48
1385,CREB1,1,0,0,48,48,48
60436,TGIF2,1,0,0,48,48,48
83463,MXD3,1,0,0,48,48,48
7003,TEAD1,1,0,0,48,48,48
6660,SOX5,1,0,0,48,48,48
4089,SMAD4,1,0,0,48,48,48
2355,FOSL2,1,0,0,48,48,48
6257,RXRB,1,0,0,48,48,48
9112,MTA1,1,0,0,48,48,48
57798,GATAD1,1,0,0,48,48,48
8553,BHLHE40,1,0,0,48,48,48
10608,MXD4,1,0,0,48,48,48
8462,KLF11,1,0,0,48,48,48
10589,DRAP1,1,0,0,48,48,48
51742,ARID4B,1,0,0,48,48,48
2625,GATA3,1,0,0,48,48,48
2626,GATA4,1,0,0,48,48,48
83855,KLF16,1,0,0,48,48,48
604,BCL6,1,0,0,48,48,48
4152,MBD1,1,0,0,48,48,48
2118,ETV4,1,0,0,48,48,48
148979,GLIS1,1,0,0,48,48,48
10362,HMG20B,1,0,0,48,48,48
7030,TFE3,1,0,0,48,48,48
687,KLF9,1,0,0,48,48,48
3087,HHEX,1,0,0,48,48,48
51157,ZNF580,1,0,0,48,48,48
7756,ZNF207,1,0,0,48,48,48
57684,ZBTB26,1,0,0,48,48,48
23028,KDM1A,1,0,0,48,48,48
6926,TBX3,1,0,0,48,48,48
3725,JUN,1,0,0,48,48,48
4802,NFYC,1,0,0,48,48,48
55929,DMAP1,1,0,0,48,48,48
10009,ZBTB33,1,0,0,48,48,48
6749,SSRP1,1,0,0,48,48,48
5885,RAD21,1,0,0,48,48,48
51804,SIX4,1,0,0,48,48,48
6934,TCF7L2,1,0,0,48,48,48
5914,RARA,1,0,0,48,48,48
84905,ZNF341,1,0,0,48,48,48
80108,ZFP2,1,0,0,48,48,48
23186,RCOR1,1,0,0,48,48,48
5978,REST,1,0,0,48,48,48
55734,ZFP64,1,0,0,48,48,48
7572,ZNF24,1,0,0,48,48,48
4904,YBX1,1,0,0,48,48,48
5356,PLRG1,1,0,0,48,48,48
3066,HDAC2,1,0,0,48,48,48
10013,HDAC6,1,0,0,48,48,48
84662,GLIS2,1,0,0,48,48,48
7975,MAFK,1,0,0,48,48,48
5371,PML,1,0,0,48,48,48
10661,KLF1,1,0,0,48,48,48
861,RUNX1,1,0,0,48,48,48
4172,MCM3,1,0,0,48,48,48
3169,FOXA1,1,0,0,48,48,48
4782,NFIC,1,0,0,48,48,48
4174,MCM5,1,0,0,48,48,48
7027,TFDP1,1,0,0,48,48,48
2114,ETS2,1,0,0,48,48,48
81628,TSC22D4,1,0,0,48,48,48
51621,KLF13,1,0,0,48,48,48
11279,KLF8,1,0,0,48,48,48
162963,ZNF610,1,0,0,48,48,48
