ID	Gene.Symbol	Gene.Title	log2(fold change)	-log10(Pvalue)
11715164_s_at	IGLL3P	immunoglobulin lambda-like polypeptide 3, pseudogene	2.145	9.251
11715228_s_at	SLC51B	solute carrier family 51, beta subunit	2.996	12.873
11715481_a_at	SST	somatostatin	3.741	7.368
11715752_at	TSPAN7	tetraspanin 7	2.569	7.289
11715813_at	HIGD1A	HIG1 hypoxia inducible domain family, member 1A	2.089	10.276
11715931_s_at	SGK1	serum/glucocorticoid regulated kinase 1	2.419	5.882
11716308_s_at	CYBRD1	cytochrome b reductase 1	2.108	5.931
11716486_at	FCGBP	Fc fragment of IgG binding protein	2.596	4.618
11716663_a_at	GDF15	growth differentiation factor 15	-2.173	4.499
11716665_s_at	GDF15	growth differentiation factor 15	-2.225	4.844
11716697_at	FABP4	fatty acid binding protein 4, adipocyte	3.543	7.67
11716974_a_at	PDK4	pyruvate dehydrogenase kinase, isozyme 4	2.672	5.992
11717127_a_at	ANPEP	alanyl (membrane) aminopeptidase	2.693	6.122
11717301_at	TACSTD2	tumor-associated calcium signal transducer 2	-3.681	9.442
11717385_a_at	MT1G	metallothionein 1G	2.44	6.014
11717386_s_at	MT1G	metallothionein 1G	2.758	6.378
11717387_x_at	MT1G	metallothionein 1G	2.501	6.382
11717475_a_at	CHGB	chromogranin B	2.694	7.823
11717820_a_at	SLC4A4	solute carrier family 4 (sodium bicarbonate cotransporter), member 4	4.394	10.384
11717825_a_at	STMN2	stathmin 2	2.645	8.335
11717826_x_at	STMN2	stathmin 2	2.529	8.342
11717909_at	IGFBP6	insulin like growth factor binding protein 6	2.175	4.476
11717979_at	C7	complement component 7	3.44	6.761
11717980_x_at	C7	complement component 7	3.494	7.055
11718163_a_at	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9	2.695	7.784
11718237_a_at	C1orf115	chromosome 1 open reading frame 115	2.423	9.262
11718452_at	AXIN2	axin 2	-2.1	5.698
11718620_a_at	CHRDL1	chordin-like 1	2.66	5.603
11718841_s_at	CXCL8	chemokine (C-X-C motif) ligand 8	-3.406	5.986
11718932_a_at	FKBP1A-SDCBP2 /// SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate) /// syndecan binding protein (syntenin) 2	2.083	10.584
11718933_s_at	FKBP1A-SDCBP2 /// SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate) /// syndecan binding protein (syntenin) 2	2.06	9.098
11719366_s_at	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	-2.329	4.727
11719434_a_at	ETV4	ets variant 4	-2.342	15.934
11719633_a_at	KLF4	Kruppel-like factor 4 (gut)	2.139	8.58
11719634_a_at	KLF4	Kruppel-like factor 4 (gut)	2.035	7.77
11719660_at	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	2.434	5.891
11719671_a_at	RCAN2	regulator of calcineurin 2	2.257	8.148
11719674_at	REG3A	regenerating islet-derived 3 alpha	-2.795	2.003
11719811_a_at	TRIB3	tribbles pseudokinase 3	-2.684	10.021
11719843_a_at	ABI3BP	ABI family, member 3 (NESH) binding protein	3.117	8.376
11719876_at	CKMT2	creatine kinase, mitochondrial 2 (sarcomeric)	-3.225	3.545
11720030_a_at	SCG2	secretogranin II	2.498	8.473
11720032_a_at	TRIM29	tripartite motif containing 29	-2.958	8.248
11720105_a_at	SLC26A2	solute carrier family 26 (anion exchanger), member 2	3.592	8.427
11720106_a_at	SLC26A2	solute carrier family 26 (anion exchanger), member 2	3.585	8.179
11720280_at	KCNMA1	potassium channel, calcium activated large conductance subfamily M alpha, member 1	2.554	5.644
11720372_at	TESC	tescalcin	-3.036	8.408
11720606_a_at	SFRP2	secreted frizzled-related protein 2	2.535	3.938
11720607_a_at	SFRP2	secreted frizzled-related protein 2	2.446	3.652
11720794_a_at	SRPX	sushi-repeat containing protein, X-linked	2.784	7.046
11720818_a_at	CXCL12	chemokine (C-X-C motif) ligand 12	3.48	9.042
11720819_s_at	CXCL12	chemokine (C-X-C motif) ligand 12	4.325	9.922
11720867_x_at	PLAC8	placenta specific 8	2.083	8.886
