Id,Label,Degree,Betweenness,Expression
1191,CLU,69,21020.5,0
773,CACNA1A,59,12227,0
7068,THRB,53,11082,0
8313,AXIN2,27,12888.5,0
3815,KIT,27,9760.5,0
6387,CXCL12,21,4240.5,0
2788,GNG7,6,15,0
MIMAT0000255,hsa-miR-34a-5p,2,9154,0
MIMAT0019806,hsa-miR-4706,2,3861.75,0
MIMAT0019885,hsa-miR-4749-5p,2,3861.75,0
MIMAT0003393,hsa-miR-425-5p,2,3458.75,0
MIMAT0018080,hsa-miR-3659,2,3458.75,0
MIMAT0027575,hsa-miR-6836-3p,2,2979,0
MIMAT0000068,hsa-miR-15a-5p,2,1646.29,0
MIMAT0000069,hsa-miR-16-5p,2,1646.29,0
MIMAT0000417,hsa-miR-15b-5p,2,1646.29,0
MIMAT0000461,hsa-miR-195-5p,2,1646.29,0
MIMAT0001341,hsa-miR-424-5p,2,1646.29,0
MIMAT0002820,hsa-miR-497-5p,2,1646.29,0
MIMAT0027578,hsa-miR-6838-5p,2,1646.29,0
MIMAT0000278,hsa-miR-221-3p,2,1418.67,0
MIMAT0000429,hsa-miR-137,2,1418.67,0
MIMAT0000449,hsa-miR-146a-5p,2,1418.67,0
216,ALDH1A1,2,1,0
100423062,IGLL5,2,1,0
MIMAT0000070,hsa-miR-17-5p,1,0,0
MIMAT0000073,hsa-miR-19a-3p,1,0,0
MIMAT0000075,hsa-miR-20a-5p,1,0,0
MIMAT0000076,hsa-miR-21-5p,1,0,0
MIMAT0000078,hsa-miR-23a-3p,1,0,0
MIMAT0000084,hsa-miR-27a-3p,1,0,0
MIMAT0000089,hsa-miR-31-5p,1,0,0
MIMAT0000092,hsa-miR-92a-3p,1,0,0
MIMAT0000099,hsa-miR-101-3p,1,0,0
MIMAT0000101,hsa-miR-103a-3p,1,0,0
MIMAT0000104,hsa-miR-107,1,0,0
MIMAT0000241,hsa-miR-208a-3p,1,0,0
MIMAT0000242,hsa-miR-129-5p,1,0,0
MIMAT0000251,hsa-miR-147a,1,0,0
MIMAT0000256,hsa-miR-181a-5p,1,0,0
MIMAT0000258,hsa-miR-181c-5p,1,0,0
MIMAT0000263,hsa-miR-199b-5p,1,0,0
MIMAT0000265,hsa-miR-204-5p,1,0,0
MIMAT0000275,hsa-miR-218-5p,1,0,0
MIMAT0000279,hsa-miR-222-3p,1,0,0
MIMAT0000416,hsa-miR-1-3p,1,0,0
MIMAT0000431,hsa-miR-140-5p,1,0,0
MIMAT0000433,hsa-miR-142-5p,1,0,0
MIMAT0000442,hsa-miR-9-3p,1,0,0
MIMAT0000444,hsa-miR-126-5p,1,0,0
MIMAT0000445,hsa-miR-126-3p,1,0,0
MIMAT0000456,hsa-miR-186-5p,1,0,0
MIMAT0000457,hsa-miR-188-5p,1,0,0
MIMAT0000462,hsa-miR-206,1,0,0
MIMAT0000510,hsa-miR-320a,1,0,0
MIMAT0000646,hsa-miR-155-5p,1,0,0
MIMAT0000682,hsa-miR-200a-3p,1,0,0
MIMAT0000685,hsa-miR-34b-5p,1,0,0
MIMAT0000722,hsa-miR-370-3p,1,0,0
MIMAT0000756,hsa-miR-326,1,0,0
MIMAT0000765,hsa-miR-335-5p,1,0,0
MIMAT0000773,hsa-miR-346,1,0,0
MIMAT0001532,hsa-miR-448,1,0,0
MIMAT0001629,hsa-miR-329-3p,1,0,0
MIMAT0001635,hsa-miR-452-5p,1,0,0
MIMAT0002175,hsa-miR-485-5p,1,0,0
MIMAT0002809,hsa-miR-146b-5p,1,0,0
MIMAT0002819,hsa-miR-193b-3p,1,0,0
MIMAT0002826,hsa-miR-515-5p,1,0,0
MIMAT0002828,hsa-miR-519e-5p,1,0,0
MIMAT0002833,hsa-miR-520a-5p,1,0,0
MIMAT0002838,hsa-miR-525-5p,1,0,0
MIMAT0002847,hsa-miR-518c-5p,1,0,0
MIMAT0002851,hsa-miR-517-5p,1,0,0
MIMAT0002870,hsa-miR-499a-5p,1,0,0
MIMAT0002891,hsa-miR-18a-3p,1,0,0
MIMAT0003236,hsa-miR-571,1,0,0
MIMAT0003273,hsa-miR-605-5p,1,0,0
MIMAT0003275,hsa-miR-607,1,0,0
MIMAT0003285,hsa-miR-548c-3p,1,0,0
MIMAT0003292,hsa-miR-623,1,0,0
MIMAT0003302,hsa-miR-632,1,0,0
MIMAT0003311,hsa-miR-641,1,0,0
MIMAT0003314,hsa-miR-644a,1,0,0
MIMAT0003317,hsa-miR-647,1,0,0
MIMAT0003320,hsa-miR-650,1,0,0
MIMAT0003333,hsa-miR-549a,1,0,0
MIMAT0003883,hsa-miR-767-3p,1,0,0
MIMAT0003885,hsa-miR-454-3p,1,0,0
MIMAT0004498,hsa-miR-25-5p,1,0,0
MIMAT0004506,hsa-miR-33a-3p,1,0,0
MIMAT0004549,hsa-miR-148a-5p,1,0,0
MIMAT0004557,hsa-miR-34a-3p,1,0,0
MIMAT0004560,hsa-miR-183-3p,1,0,0
MIMAT0004586,hsa-miR-15b-3p,1,0,0
MIMAT0004612,hsa-miR-186-3p,1,0,0
MIMAT0004677,hsa-miR-34c-3p,1,0,0
MIMAT0004683,hsa-miR-362-3p,1,0,0
MIMAT0004688,hsa-miR-374a-3p,1,0,0
MIMAT0004693,hsa-miR-330-5p,1,0,0
MIMAT0004703,hsa-miR-335-3p,1,0,0
MIMAT0004748,hsa-miR-423-5p,1,0,0
MIMAT0004780,hsa-miR-532-3p,1,0,0
MIMAT0004795,hsa-miR-574-5p,1,0,0
MIMAT0004797,hsa-miR-582-3p,1,0,0
MIMAT0004912,hsa-miR-890,1,0,0
MIMAT0004924,hsa-miR-876-5p,1,0,0
MIMAT0004945,hsa-miR-744-5p,1,0,0
MIMAT0004953,hsa-miR-873-5p,1,0,0
MIMAT0004960,hsa-miR-208b-3p,1,0,0
MIMAT0004972,hsa-miR-922,1,0,0
MIMAT0005459,hsa-miR-1224-3p,1,0,0
MIMAT0005572,hsa-miR-1225-5p,1,0,0
MIMAT0005582,hsa-miR-1228-5p,1,0,0
MIMAT0005583,hsa-miR-1228-3p,1,0,0
MIMAT0005586,hsa-miR-1231,1,0,0
MIMAT0005591,hsa-miR-1236-3p,1,0,0
MIMAT0005792,hsa-miR-320b,1,0,0
MIMAT0005793,hsa-miR-320c,1,0,0
MIMAT0005798,hsa-miR-1185-5p,1,0,0
MIMAT0005877,hsa-miR-1286,1,0,0
MIMAT0005898,hsa-miR-1246,1,0,0
MIMAT0005905,hsa-miR-1254,1,0,0
MIMAT0005911,hsa-miR-1260a,1,0,0
MIMAT0005914,hsa-miR-1262,1,0,0
MIMAT0005929,hsa-miR-1275,1,0,0
MIMAT0006764,hsa-miR-320d,1,0,0
MIMAT0011778,hsa-miR-2278,1,0,0
MIMAT0013802,hsa-miR-2861,1,0,0
MIMAT0014978,hsa-miR-3116,1,0,0
MIMAT0015021,hsa-miR-3148,1,0,0
MIMAT0015025,hsa-miR-3152-3p,1,0,0
MIMAT0015035,hsa-miR-3161,1,0,0
MIMAT0015041,hsa-miR-1260b,1,0,0
MIMAT0015052,hsa-miR-3175,1,0,0
MIMAT0016857,hsa-miR-4305,1,0,0
MIMAT0016860,hsa-miR-4307,1,0,0
MIMAT0016863,hsa-miR-4311,1,0,0
MIMAT0016880,hsa-miR-4259,1,0,0
MIMAT0016884,hsa-miR-4254,1,0,0
MIMAT0016895,hsa-miR-2355-5p,1,0,0
MIMAT0016899,hsa-miR-4264,1,0,0
MIMAT0016918,hsa-miR-4288,1,0,0
MIMAT0017985,hsa-miR-3607-3p,1,0,0
MIMAT0017989,hsa-miR-3612,1,0,0
MIMAT0017997,hsa-miR-3617-5p,1,0,0
MIMAT0018094,hsa-miR-3671,1,0,0
MIMAT0018103,hsa-miR-3678-3p,1,0,0
MIMAT0018104,hsa-miR-3679-5p,1,0,0
MIMAT0018117,hsa-miR-3689a-5p,1,0,0
MIMAT0018180,hsa-miR-3689b-5p,1,0,0
MIMAT0018185,hsa-miR-3911,1,0,0
MIMAT0018200,hsa-miR-3925-5p,1,0,0
MIMAT0018201,hsa-miR-3926,1,0,0
MIMAT0018944,hsa-miR-4429,1,0,0
MIMAT0018961,hsa-miR-4443,1,0,0
MIMAT0019009,hsa-miR-3689e,1,0,0
MIMAT0019010,hsa-miR-3689f,1,0,0
MIMAT0019020,hsa-miR-4486,1,0,0
MIMAT0019022,hsa-miR-4488,1,0,0
MIMAT0019025,hsa-miR-4490,1,0,0
MIMAT0019031,hsa-miR-4496,1,0,0
MIMAT0019040,hsa-miR-4504,1,0,0
MIMAT0019041,hsa-miR-4505,1,0,0
MIMAT0019063,hsa-miR-4524a-3p,1,0,0
MIMAT0019207,hsa-miR-3152-5p,1,0,0
MIMAT0019690,hsa-miR-4633-3p,1,0,0
MIMAT0019725,hsa-miR-4658,1,0,0
MIMAT0019730,hsa-miR-4661-3p,1,0,0
MIMAT0019739,hsa-miR-4665-5p,1,0,0
MIMAT0019745,hsa-miR-4668-5p,1,0,0
MIMAT0019761,hsa-miR-4677-3p,1,0,0
MIMAT0019763,hsa-miR-4679,1,0,0
MIMAT0019775,hsa-miR-4687-3p,1,0,0
MIMAT0019791,hsa-miR-4697-5p,1,0,0
MIMAT0019799,hsa-miR-4701-3p,1,0,0
MIMAT0019836,hsa-miR-4722-5p,1,0,0
MIMAT0019853,hsa-miR-4731-5p,1,0,0
MIMAT0019859,hsa-miR-4734,1,0,0
MIMAT0019890,hsa-miR-4753-5p,1,0,0
MIMAT0019891,hsa-miR-4753-3p,1,0,0
MIMAT0019903,hsa-miR-4758-5p,1,0,0
MIMAT0019910,hsa-miR-4762-5p,1,0,0
MIMAT0019929,hsa-miR-4774-5p,1,0,0
MIMAT0019936,hsa-miR-4778-5p,1,0,0
MIMAT0019939,hsa-miR-4780,1,0,0
MIMAT0019940,hsa-miR-4436b-5p,1,0,0
MIMAT0019942,hsa-miR-4781-5p,1,0,0
MIMAT0019953,hsa-miR-2467-3p,1,0,0
MIMAT0019965,hsa-miR-4793-5p,1,0,0
MIMAT0019973,hsa-miR-4797-3p,1,0,0
MIMAT0020602,hsa-miR-1273g-5p,1,0,0
MIMAT0021023,hsa-miR-5002-5p,1,0,0
MIMAT0021079,hsa-miR-5087,1,0,0
MIMAT0021129,hsa-miR-5196-3p,1,0,0
MIMAT0022256,hsa-miR-4524b-3p,1,0,0
MIMAT0022288,hsa-miR-5586-3p,1,0,0
MIMAT0022473,hsa-miR-5684,1,0,0
MIMAT0022488,hsa-miR-5695,1,0,0
MIMAT0022695,hsa-miR-212-5p,1,0,0
MIMAT0022732,hsa-miR-3191-5p,1,0,0
MIMAT0022736,hsa-miR-642b-5p,1,0,0
MIMAT0022946,hsa-miR-1237-5p,1,0,0
MIMAT0022947,hsa-miR-1238-5p,1,0,0
MIMAT0023252,hsa-miR-5787,1,0,0
MIMAT0023697,hsa-miR-6072,1,0,0
MIMAT0025454,hsa-miR-6500-5p,1,0,0
MIMAT0025459,hsa-miR-6501-3p,1,0,0
MIMAT0025475,hsa-miR-6509-3p,1,0,0
MIMAT0025487,hsa-miR-6515-3p,1,0,0
MIMAT0026610,hsa-miR-519d-5p,1,0,0
MIMAT0026765,hsa-miR-1537-5p,1,0,0
MIMAT0027363,hsa-miR-6731-5p,1,0,0
MIMAT0027373,hsa-miR-6736-5p,1,0,0
MIMAT0027395,hsa-miR-6747-3p,1,0,0
